Labels	EY2_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

5.008E007	3.010E+3	
5.016E007	3.003E+3	
5.024E007	2.885E+3	
5.032E007	2.934E+3	
5.04E07	3.001E+3	
5.048E007	2.890E+3	
5.056E007	2.953E+3	
5.064E007	2.905E+3	
5.072E007	2.894E+3	
5.08E07	2.971E+3	
5.088E007	3.056E+3	
5.096E007	2.947E+3	
5.104E007	2.982E+3	
5.112E007	2.961E+3	
5.12E07	2.925E+3	
5.128E007	3.015E+3	
5.136E007	2.899E+3	
5.144E007	2.957E+3	
5.152E007	2.952E+3	
5.16E07	2.881E+3	
5.168E007	2.983E+3	
5.176E007	2.971E+3	
5.184E007	2.966E+3	
5.192E007	2.916E+3	
5.2E07	2.995E+3	
5.208E007	2.972E+3	
5.216E007	2.967E+3	
5.224E007	2.947E+3	
5.232E007	3.079E+3	
5.24E07	2.995E+3	
5.248E007	3.050E+3	
5.256E007	2.946E+3	
5.264E007	3.044E+3	
5.272E007	2.983E+3	
5.28E07	3.005E+3	
5.288E007	2.954E+3	
5.296E007	2.962E+3	
5.304E007	2.972E+3	
5.312E007	2.853E+3	
5.32E07	3.003E+3	
5.328E007	3.052E+3	
5.336E007	2.995E+3	
5.344E007	2.928E+3	
5.352E007	2.940E+3	
5.36E07	2.931E+3	
5.368E007	2.973E+3	
5.376E007	2.931E+3	
5.384E007	3.038E+3	
5.392E007	3.028E+3	
5.4E07	2.897E+3	
5.408E007	2.916E+3	
5.416E007	2.978E+3	
5.424E007	2.840E+3	
5.432E007	2.977E+3	
5.44E07	3.020E+3	
5.448E007	2.894E+3	
5.456E007	2.928E+3	
5.464E007	2.920E+3	
5.472E007	3.076E+3	
5.48E07	2.928E+3	
5.488E007	2.941E+3	
5.496E007	2.959E+3	
5.504E007	2.862E+3	
5.512E007	2.917E+3	
5.52E07	2.988E+3	
5.528E007	2.939E+3	
5.536E007	2.958E+3	
5.544E007	2.941E+3	
5.552E007	3.074E+3	
5.56E07	2.872E+3	
5.568E007	2.917E+3	
5.576E007	2.862E+3	
5.584E007	2.913E+3	
5.592E007	2.927E+3	
5.6E07	2.915E+3	
5.608E007	2.869E+3	
5.616E007	2.974E+3	
5.624E007	2.952E+3	
5.632E007	3.027E+3	
5.64E07	2.902E+3	
5.648E007	2.896E+3	
5.656E007	2.965E+3	
5.664E007	2.844E+3	
5.672E007	2.845E+3	
5.68E07	3.024E+3	
5.688E007	2.861E+3	
5.696E007	2.961E+3	
5.704E007	2.821E+3	
5.712E007	2.984E+3	
5.72E07	2.961E+3	
5.728E007	2.917E+3	
5.736E007	2.963E+3	
5.744E007	2.987E+3	
5.752E007	2.971E+3	
5.76E07	2.900E+3	
5.768E007	2.914E+3	
5.776E007	2.833E+3	
5.784E007	2.930E+3	
5.792E007	2.900E+3	
5.8E07	2.875E+3	
5.808E007	2.882E+3	
5.816E007	2.907E+3	
5.824E007	2.970E+3	
5.832E007	2.875E+3	
5.84E07	2.993E+3	
5.848E007	2.966E+3	
5.856E007	2.939E+3	
5.864E007	2.943E+3	
5.872E007	2.984E+3	
5.88E07	2.977E+3	
5.888E007	2.890E+3	
5.896E007	2.970E+3	
5.904E007	2.898E+3	
5.912E007	2.852E+3	
5.92E07	2.972E+3	
5.928E007	3.010E+3	
5.936E007	2.921E+3	
5.944E007	2.890E+3	
5.952E007	2.988E+3	
5.96E07	2.989E+3	
5.968E007	2.950E+3	
5.976E007	2.917E+3	
5.984E007	2.944E+3	
5.992E007	2.916E+3	
6E07	2.972E+3	
6.008E007	2.826E+3	
6.016E007	2.906E+3	
6.024E007	2.842E+3	
6.032E007	2.868E+3	
6.04E07	2.989E+3	
6.048E007	2.950E+3	
6.056E007	2.945E+3	
6.064E007	2.876E+3	
6.072E007	2.936E+3	
6.08E07	2.941E+3	
6.088E007	2.913E+3	
6.096E007	2.975E+3	
6.104E007	2.893E+3	
6.112E007	2.864E+3	
6.12E07	2.917E+3	
6.128E007	2.913E+3	
6.136E007	3.028E+3	
6.144E007	2.902E+3	
6.152E007	2.921E+3	
6.16E07	2.974E+3	
6.168E007	2.929E+3	
6.176E007	2.970E+3	
6.184E007	2.994E+3	
6.192E007	2.826E+3	
6.2E07	2.957E+3	
6.208E007	2.870E+3	
6.216E007	2.839E+3	
6.224E007	2.884E+3	
6.232E007	2.952E+3	
6.24E07	2.962E+3	
6.248E007	2.952E+3	
6.256E007	2.897E+3	
6.264E007	2.898E+3	
6.272E007	2.956E+3	
6.28E07	3.055E+3	
6.288E007	2.902E+3	
6.296E007	2.980E+3	
6.304E007	2.923E+3	
6.312E007	2.867E+3	
6.32E07	2.915E+3	
6.328E007	2.971E+3	
6.336E007	2.915E+3	
6.344E007	3.017E+3	
6.352E007	3.000E+3	
6.36E07	2.982E+3	
6.368E007	2.973E+3	
6.376E007	2.982E+3	
6.384E007	2.939E+3	
6.392E007	3.000E+3	
6.4E07	2.873E+3	
6.408E007	2.883E+3	
6.416E007	2.977E+3	
6.424E007	2.953E+3	
6.432E007	2.932E+3	
6.44E07	2.944E+3	
6.448E007	2.768E+3	
6.456E007	2.939E+3	
6.464E007	2.954E+3	
6.472E007	2.864E+3	
6.48E07	3.009E+3	
6.488E007	2.962E+3	
6.496E007	3.002E+3	
6.504E007	2.869E+3	
6.512E007	2.893E+3	
6.52E07	3.064E+3	
6.528E007	2.873E+3	
6.536E007	2.921E+3	
6.544E007	2.976E+3	
6.552E007	2.968E+3	
6.56E07	2.849E+3	
6.568E007	2.970E+3	
6.576E007	2.931E+3	
6.584E007	2.900E+3	
6.592E007	2.933E+3	
6.6E07	2.996E+3	
6.608E007	2.869E+3	
6.616E007	2.866E+3	
6.624E007	2.895E+3	
6.632E007	2.965E+3	
6.64E07	3.012E+3	
6.648E007	2.877E+3	
6.656E007	2.942E+3	
