1,1,0.0000025,0.0000025,1.45,1.4572,361359.4137430362,362388.49215355894,458574.1671696949,457761.37173287134,5858136.507690673,1.4516711025619404,0.863304118398904
E_x mode,1558,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362279.3037826144,361256.76255825354,457369.8330856148,458177.923597273,5854360.8593692295,1.4516672313444088,0.8671130335647745
E_y mode,1558,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361256.76255825354,362279.3037826144,458177.923597273,457369.8330856148,5854360.8593692295,1.4516672313444088,0.8656403747829846
E_x mode,1559,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362176.1283907408,361148.37015778123,456974.0880505203,457786.7624321276,5850590.048206937,1.4516633585089829,0.8677392084594789
E_y mode,1559,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361148.37015778123,362176.1283907408,457786.7624321276,456974.0880505203,5850590.048206937,1.4516633585089829,0.8658951053292586
E_x mode,1560,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362067.2161355044,361040.11672192503,456583.4451863072,457396.04888513236,5846824.429378683,1.4516595745486656,0.8663462967616337
E_y mode,1560,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361040.11672192503,362067.2161355044,457396.04888513236,456583.4451863072,5846824.429378683,1.4516595745486656,0.8642813340858291
E_x mode,1561,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361958.44342191477,360932.0019836163,456193.248666941,457005.78206168435,5843063.629941444,1.451655789288326,0.8618830432917259
E_y mode,1561,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,360932.0019836163,361958.44342191477,457005.78206168435,456193.248666941,5843063.629941444,1.451655789288326,0.8634286132676624
E_x mode,1562,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361849.8099819661,360824.02567647066,455803.497600383,456615.9610694232,5839307.640638987,1.4516520027279536,0.8653290699259049
E_y mode,1562,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,360824.02567647066,361849.8099819661,456615.9610694232,455803.497600383,5839307.640638987,1.4516520027279536,0.8621198668226988
E_x mode,1563,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361741.3155483385,360716.1875347852,455414.1910968285,456226.5850182242,5835556.452238766,1.451648214867538,0.8676272380537077
E_y mode,1563,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,360716.1875347852,361741.3155483385,456226.5850182242,455414.1910968285,5835556.452238766,1.451648214867538,0.8650984969710447
E_x mode,1564,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361632.9598543959,360608.48729353666,455025.3282686986,455837.6530201901,5831810.055531847,1.4516444257070698,0.8672761200320289
E_y mode,1564,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,360608.48729353666,361632.9598543959,455837.6530201901,455025.3282686986,5831810.055531847,1.4516444257070698,0.8632691986784319
